,city,H3_L12,pid,lat,lng,year,month, road,sidewalk,building,wall,fence,pole,traffic light,traffic sign,vegetation,terrain,sky,person,rider,car,truck,bus,train,motorcycle,bicycle
58,Singapore,8c6520d864ecbff,DdG7ETN1KHwE0bc-CALYrQ,1.290541805967827,103.8390905546039,2021,4,0.000000,0.000178,0.237219,0.002189,0.001893,0.001361,0.001420,0.002308,0.438166,0.002071,0.097337,0.000000,0.000059,0.000769,0.000296,0.000000,0.000000,0.000000,0.000000
59,Singapore,8c6520d90c585ff,DDmpYjCiyTuUWrJtXtriAQ,1.327281984663421,103.8551618213578,2021,5,0.002130,0.000178,0.103609,0.002604,0.006627,0.003491,0.002485,0.003550,0.479586,0.004320,0.176568,0.000118,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
60,Singapore,8c6526ac14d41ff,DFbDWRvC3FV99aDqu8LqKA,1.322256730657105,103.9545239317246,2021,8,0.000828,0.000118,0.077633,0.001893,0.001420,0.002367,0.001598,0.004497,0.426864,0.003018,0.264260,0.000118,0.000000,0.000296,0.000118,0.000237,0.000000,0.000000,0.000000
61,Singapore,8c65263488969ff,DfHWEzhO2vhiw5zvOwrbFw,1.435287975622823,103.8047077585532,2021,3,0.000000,0.000178,0.446331,0.001124,0.001361,0.000710,0.000769,0.000888,0.118107,0.001479,0.210828,0.000178,0.000533,0.000533,0.002249,0.000000,0.000000,0.000000,0.000000
62,Singapore,8c6520cb1c115ff,DcnrT5-aTQw3PI3Gt3hh8g,1.382600877932807,103.7490356859469,2021,8,0.000000,0.000533,0.086036,0.002722,0.001124,0.003846,0.001716,0.003432,0.345148,0.009112,0.331420,0.000118,0.000000,0.000059,0.000000,0.000000,0.000000,0.000000,0.000000
63,Singapore,8c65263494123ff,DGWRYLNRlI3K5deFjPK2Dw,1.442085111274765,103.781864553852,2021,7,0.051775,0.002544,0.079112,0.001124,0.002781,0.001183,0.000710,0.001657,0.288284,0.004615,0.262899,0.001953,0.000651,0.002604,0.083195,0.000178,0.000000,0.000000,0.000000
64,Singapore,8c652636224a9ff,dgwBxZMYe2YQLZ50NMm5Iw,1.401200941359698,103.8797116420063,2021,6,0.000000,0.000059,0.009290,0.000769,0.002308,0.001006,0.001243,0.001243,0.238757,0.015385,0.515148,0.000059,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
65,Singapore,8c652634e0257ff,dcBGGU7c2YG2XB8OEjIrow,1.443644786209531,103.821927473127,2021,7,0.000000,0.000296,0.023314,0.001124,0.000651,0.003314,0.000947,0.002426,0.229527,0.005680,0.517870,0.000118,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66,Singapore,8c6520ca978cbff,dcxTtxLK4VBKHL2qAVQA3g,1.34447077062048,103.640559595763,2021,2,0.000000,0.000355,0.028757,0.001598,0.001065,0.006095,0.001420,0.001657,0.225148,0.002781,0.516095,0.000118,0.000000,0.000000,0.000118,0.000059,0.000000,0.000000,0.000000
67,Singapore,8c65263601b43ff,DDw9ufYj59sQbXaJiPOxwQ,1.378852390886381,103.8908498691692,2021,7,0.058521,0.041006,0.349586,0.005385,0.006686,0.011243,0.001953,0.009941,0.128402,0.042012,0.117396,0.001302,0.000178,0.004734,0.005858,0.000000,0.000118,0.000118,0.000769
